"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__RenewalProductOption__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
974e0ad7-6cac-4153-a1f4-dff90a6f3060,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,9c2a11dd-d4ac-4b8c-b6c4-9020212302d5,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
a22a6ed4-8e38-42c5-918a-7f35987e9a3e,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,ab7764db-a767-4723-9eb9-c2f64b11c933,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
a281d524-3bae-4de2-975c-7be3f772e991,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",92925d0d-bdd8-4a23-97f8-b9337af4021a,"#N/A","#N/A",12.0,c7ae84a9-819b-4f9f-9d4b-2c0ab5758251,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
a35e33bf-dbfc-435f-8cca-2003f0fe6ec5,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",396fdda6-00de-4619-9125-65e5f918a169,"#N/A","#N/A",11.0,419bcc50-06c3-4423-b389-4df45df55091,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
a868de14-3ba3-439a-b29f-b184b1150b75,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A",1.0,10.0,19574031-d73e-4e09-832b-3d2ee66fc1d7,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
bedb0b94-a956-48c9-a4d3-f581d9dbf242,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,d3f23dbb-a373-452a-baa7-fbf6cbb71cd8,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
c09472f8-698e-4c42-a7b4-4b9d776dcce0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,3d7747af-3572-436b-a78a-6769e87ceb8f,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
c463c7f4-8fe0-4ee6-ab30-312a6865ee17,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,57b9785a-259a-41bd-8165-0e9580eb45b3,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
d2186d7c-8003-4725-92bd-a3d0e5b07ca6,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,315a4828-590b-400d-ac7c-66baa093af3c,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
d6c0827b-7025-4397-b1d4-5e11efa09844,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,d46790c2-591c-4923-aefa-66d5f6786458,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
db703622-6add-4257-a963-5f9f9e2db956,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,e677fd21-92ab-4e8a-a127-ac76ce25e543,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
e0ab3487-978b-49d0-b43b-4a2fe85bd770,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,a9d5334e-ef6d-475b-b5c1-cfa6a26d69b5,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
e8608d13-6c07-4bea-9a06-1677c928cd7b,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",d1be1717-d8cb-49cc-9770-f837af06e6bd,"#N/A","#N/A",10.0,9c2a11dd-d4ac-4b8c-b6c4-9020212302d5,false,1.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
eb624b5c-2ba0-42a0-ad44-3a77dbf9ee2a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",6a03257b-abb5-43f5-b42a-95defcb841a6,"#N/A","#N/A",11.0,419bcc50-06c3-4423-b389-4df45df55091,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
eb942dc0-f0ae-4f52-be22-9729970d9601,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",049442df-d1cb-4066-8577-916103aa1b6c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",61199cbe-8e74-48ab-add9-4054839b14bf,"#N/A","#N/A",10.0,0b1110db-051d-49cb-bbf2-9042dcaf5230,false,0.0,"#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
f05c4fc9-a1bb-4c41-814c-1428c74fdcbe,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",de582aac-3bcd-4bf2-b1be-a7b6e195a81f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",396fdda6-00de-4619-9125-65e5f918a169,"#N/A","#N/A",11.0,e44cd0ae-930b-4549-ac67-d50a367f8b0b,false,"#N/A","#N/A","#N/A",false,false,"#N/A",false,Component,"#N/A",false
